date_time,y,co_gt,nhmc,c6h6,s2,nox,s3,no2,s4,s5,t,rh,ah,level_High,level_Low,level_Moderate,level_Very High,level_Very low,y_later
2004-03-10 18:00:00,1360,2.6,150.0,11.9,1024.4129192580644,166.0,1056.0,113.0,1692.0,1077.3825819570002,13.6,48.9,0.7578,1,0,0,0,0,1185.0
2004-03-10 19:00:00,1292,2.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,1,0,0,0,0,1136.0
2004-03-10 20:00:00,1402,2.2,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,71.69903491366071,0.7502,1,0,0,0,0,1094.0
2004-03-10 21:00:00,1376,2.2,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,1,0,0,0,0,1010.0
2004-03-10 22:00:00,1272,1.6,51.0,6.5,836.0,131.0,1205.0,116.0,1409.984951568961,1110.0,31.44976288741654,59.6,0.7888,1,0,0,0,0,1011.0
2004-03-10 23:00:00,1197,1.2,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,1,0,0,0,0,1066.0
2004-03-11 00:00:00,1185,1.2,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,1,0,0,0,0,1052.0
2004-03-11 01:00:00,1136,-3.136557261661928,31.0,3.3,672.0,12.909905405729544,1453.0,76.0,1333.0,730.0,10.7,60.0,20.88578109230744,0,0,1,0,0,1144.0
2004-03-11 02:00:00,1094,0.9,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0,1,0,0,0,1333.0
2004-03-11 03:00:00,1010,0.6,19.0,1.7,561.0,-200.0,1705.0,-200.0,1235.0,501.0,10.3,60.2,0.7517,0,1,0,0,0,1351.0
2004-03-11 04:00:00,1011,-200.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,43.13708079221519,60.5,0.7465,0,0,0,0,1,1233.0
2004-03-11 05:00:00,1066,0.7,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0,1,0,0,0,1179.0
2004-03-11 06:00:00,1052,0.7,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,29.65218504342766,0,1,0,0,0,1236.0
2004-03-11 07:00:00,1144,1.1,29.0,25.10095813970492,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,1,0,0,0,0,1286.0
2004-03-11 08:00:00,1333,2.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,1,0,0,0,0,1371.0
